"Year","std_Weight","ARS","rel_ARS","Age","Centered_Age","Year2","animal","StagCode"
"1991",-0.0398616614973595,0,0,13,4.08574879227053,1991,164,164
"1991",-0.809377285101222,0,0,7,-1.91425120772947,1991,319,319
"1991",-0.826289716389219,0,0,7,-1.91425120772947,1991,319,319
"1991",-0.251267052597322,2,1.48121645796064,7,-1.91425120772947,1991,310,310
"1991",-1.57043669306109,0,0,5,-3.91425120772947,1991,387,387
"1991",-1.55775236959509,0,0,5,-3.91425120772947,1991,387,387
"1991",-1.79875451544904,0,0,5,-3.91425120772947,1991,367,367
"1991",-1.29560968463113,0,0,6,-2.91425120772947,1991,283,283
"1991",-1.09266050917517,0,0,6,-2.91425120772947,1991,283,283
"1991",-0.568375139247265,0,0,7,-1.91425120772947,1991,295,295
"1991",-1.04192321531118,0,0,7,-1.91425120772947,1991,295,295
"1991",-1.38439994889312,1,0.740608228980322,5,-3.91425120772947,1991,207,207
"1991",1.17360528341642,0,0,11,2.08574879227053,1991,198,198
"1991",0.700057207352508,0,0,11,2.08574879227053,1991,198,198
"1991",-0.796692961635224,0,0,6,-2.91425120772947,1991,290,290
"1991",-0.530322168849272,0,0,6,-2.91425120772947,1991,290,290
"1991",0.771935040326495,7,5.18425760286225,10,1.08574879227053,1991,265,265
"1991",0.230737239110592,3,2.22182468694097,9,0.0857487922705307,1991,190,190
"1991",0.501336139718544,3,2.22182468694097,9,0.0857487922705307,1991,190,190
"1991",0.450598845854553,1,0.740608228980322,12,3.08574879227053,1991,256,256
"1991",-0.0144930145653641,0,0,12,3.08574879227053,1991,217,217
"1991",0.492879924074545,2,1.48121645796064,9,0.0857487922705307,1991,178,178
"1991",0.80153179508049,2,1.48121645796064,9,0.0857487922705307,1991,178,178
"1992",0.0193318480106299,1,0.740608228980322,8,-0.914251207729469,1992,310,310
"1992",-0.103283278827348,1,0.740608228980322,8,-0.914251207729469,1992,310,310
"1992",-0.263951376063319,0,0,7,-1.91425120772947,1992,244,244
"1992",-0.302004346461313,0,0,7,-1.91425120772947,1992,244,244
"1992",-1.5027869679091,0,0,5,-3.91425120772947,1992,291,291
"1992",0.315299395550577,0,0,9,0.0857487922705307,1992,206,206
"1992",0.492879924074545,0,0,9,0.0857487922705307,1992,206,206
"1992",0.285702640796582,0,0,11,2.08574879227053,1992,200,200
